Dataset,Alagorithm,Type,Part,%,Correct_Ham,Incorrect_Ham,Correct_Spam,Incorrect_Spam
Kaggle,FeedForwardNeuralNetwork,0,lowFeatureList,0.8361547762998791,859,134,0,0
Kaggle,FeedForwardNeuralNetwork,0,upFeatureList,0.9015873015873016,546,31,54,31
Kaggle,FeedForwardNeuralNetwork,1,lowFeatureList,0.8394800483675937,840,153,0,0
Kaggle,FeedForwardNeuralNetwork,1,upFeatureList,0.8975056689342403,545,32,56,29
Kaggle,FeedForwardNeuralNetwork,2,lowFeatureList,0.8500604594921403,770,97,68,58
Kaggle,FeedForwardNeuralNetwork,2,upFeatureList,0.9061224489795918,534,43,59,26
Kaggle,FeedForwardNeuralNetwork,3,lowFeatureList,0.8458282950423216,848,145,0,0
Kaggle,FeedForwardNeuralNetwork,3,upFeatureList,0.8988662131519274,540,37,55,30
Kaggle,FeedForwardNeuralNetwork,4,lowFeatureList,0.8409915356711004,767,100,70,56
Kaggle,FeedForwardNeuralNetwork,4,upFeatureList,0.8839002267573696,538,39,52,33
Kaggle,KNearestNeighbors,0,lowFeatureList,0.7959492140266021,889,104,0,0
Kaggle,KNearestNeighbors,0,upFeatureList,0.871655328798186,586,76,0,0
Kaggle,KNearestNeighbors,1,lowFeatureList,0.8101571946795647,888,105,0,0
Kaggle,KNearestNeighbors,1,upFeatureList,0.890249433106576,601,61,0,0
Kaggle,KNearestNeighbors,2,lowFeatureList,0.8340386940749698,903,90,0,0
Kaggle,KNearestNeighbors,2,upFeatureList,0.8925170068027211,598,64,0,0
Kaggle,KNearestNeighbors,3,lowFeatureList,0.8409915356711004,930,63,0,0
Kaggle,KNearestNeighbors,3,upFeatureList,0.9052154195011338,606,56,0,0
Kaggle,KNearestNeighbors,4,lowFeatureList,0.8503627569528416,930,63,0,0
Kaggle,KNearestNeighbors,4,upFeatureList,0.9079365079365079,616,46,0,0
Kaggle,LogisticRegression,0,lowFeatureList,0.8730350665054414,937,56,0,0
Kaggle,LogisticRegression,0,upFeatureList,0.8956916099773242,621,41,0,0
Kaggle,LogisticRegression,1,lowFeatureList,0.8787787182587666,922,71,0,0
Kaggle,LogisticRegression,1,upFeatureList,0.8975056689342403,621,41,0,0
Kaggle,LogisticRegression,2,lowFeatureList,0.875453446191052,908,85,0,0
Kaggle,LogisticRegression,2,upFeatureList,0.9006802721088435,617,45,0,0
Kaggle,LogisticRegression,3,lowFeatureList,0.8784764207980653,921,72,0,0
Kaggle,LogisticRegression,3,upFeatureList,0.8970521541950114,618,44,0,0
Kaggle,LogisticRegression,4,lowFeatureList,0.8778718258766627,918,75,0,0
Kaggle,LogisticRegression,4,upFeatureList,0.9029478458049887,617,45,0,0
Kaggle,Naive,0,lowFeatureList,0.9924425634824667,861,6,125,1
Kaggle,Naive,0,upFeatureList,0.7215419501133787,514,148,0,0
Kaggle,Naive,1,lowFeatureList,0.7107013301088271,765,228,0,0
Kaggle,Naive,1,upFeatureList,0.8086167800453514,605,57,0,0
Kaggle,Naive,2,lowFeatureList,0.8004836759371221,900,93,0,0
Kaggle,Naive,2,upFeatureList,0.7655328798185941,554,108,0,0
Kaggle,Naive,3,lowFeatureList,0.8004836759371221,900,93,0,0
Kaggle,Naive,3,upFeatureList,0.708843537414966,514,148,0,0
Kaggle,Naive,4,lowFeatureList,0.8004836759371221,900,93,0,0
Kaggle,Naive,4,upFeatureList,0.5909297052154195,424,238,0,0
Kaggle,RadialBasis,0,lowFeatureList,0.8597339782345829,925,68,0,0
Kaggle,RadialBasis,0,upFeatureList,0.9006802721088435,614,48,0,0
Kaggle,RadialBasis,1,lowFeatureList,0.8527811366384522,857,136,0,0
Kaggle,RadialBasis,1,upFeatureList,0.8988662131519274,595,67,0,0
Kaggle,RadialBasis,2,lowFeatureList,0.8464328899637243,773,94,66,60
Kaggle,RadialBasis,2,upFeatureList,0.8938775510204081,540,37,53,32
Kaggle,RadialBasis,3,lowFeatureList,0.8675937122128174,878,115,0,0
Kaggle,RadialBasis,3,upFeatureList,0.8988662131519274,594,68,0,0
Kaggle,RadialBasis,4,lowFeatureList,0.8645707376058042,873,120,0,0
Kaggle,RadialBasis,4,upFeatureList,0.9020408163265307,597,65,0,0
Kaggle,RandomForest,0,lowFeatureList,0.9071946795646917,943,50,0,0
Kaggle,RandomForest,0,upFeatureList,0.9256235827664399,616,46,0,0
Kaggle,RandomForest,1,lowFeatureList,0.905683192261185,950,43,0,0
Kaggle,RandomForest,1,upFeatureList,0.9201814058956916,624,38,0,0
Kaggle,RandomForest,2,lowFeatureList,0.9044740024183797,949,44,0,0
Kaggle,RandomForest,2,upFeatureList,0.9160997732426304,624,38,0,0
Kaggle,RandomForest,3,lowFeatureList,0.902962515114873,950,43,0,0
Kaggle,RandomForest,3,upFeatureList,0.9151927437641724,627,35,0,0
Kaggle,RandomForest,4,lowFeatureList,0.9014510278113664,953,40,0,0
Kaggle,RandomForest,4,upFeatureList,0.9170068027210885,627,35,0,0
Kaggle,svm,0,lowFeatureList,0.8957073760580411,940,53,0,0
Kaggle,svm,0,upFeatureList,0.9006802721088435,607,55,0,0
Kaggle,svm,1,lowFeatureList,0.8957073760580411,933,60,0,0
Kaggle,svm,1,upFeatureList,0.8988662131519274,599,63,0,0
Kaggle,svm,2,lowFeatureList,0.8960096735187424,934,59,0,0
Kaggle,svm,2,upFeatureList,0.9052154195011338,602,60,0,0
Kaggle,svm,3,lowFeatureList,0.903869407496977,923,70,0,0
Kaggle,svm,3,upFeatureList,0.8993197278911564,604,58,0,0
Kaggle,svm,4,lowFeatureList,0.9032648125755743,917,76,0,0
Kaggle,svm,4,upFeatureList,0.9002267573696145,606,56,0,0
