Dataset,Alagorithm,Type,Part,%,Correct_Ham,Incorrect_Ham,Correct_Spam,Incorrect_Spam
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,0,lowFeatureList,0.8438066465256797,851,142,0,0
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,0,upFeatureList,0.9012233801540552,527,28,69,39
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,1,lowFeatureList,0.8193353474320242,819,174,0,0
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,1,upFeatureList,0.8812868146805618,511,44,73,35
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,2,lowFeatureList,0.816012084592145,802,191,0,0
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,2,upFeatureList,0.877208880833711,517,38,66,42
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,3,lowFeatureList,0.8311178247734139,822,171,0,0
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,3,upFeatureList,0.8862709560489352,516,39,68,40
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,4,lowFeatureList,0.8459214501510574,844,149,0,0
SMS Spam Corpus v.0.1,FeedForwardNeuralNetwork,4,upFeatureList,0.8876302673312189,522,33,70,38
SMS Spam Corpus v.0.1,KNearestNeighbors,0,lowFeatureList,0.7876132930513595,833,160,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,0,upFeatureList,0.8699592206615315,557,106,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,1,lowFeatureList,0.8114803625377643,875,118,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,1,upFeatureList,0.8808337109198007,575,88,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,2,lowFeatureList,0.8190332326283988,878,115,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,2,upFeatureList,0.9030357951971001,557,106,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,3,lowFeatureList,0.8438066465256797,887,106,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,3,upFeatureList,0.9016764839148165,587,76,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,4,lowFeatureList,0.8383685800604229,895,98,0,0
SMS Spam Corpus v.0.1,KNearestNeighbors,4,upFeatureList,0.904848210240145,592,71,0,0
SMS Spam Corpus v.0.1,LogisticRegression,0,lowFeatureList,0.8767371601208459,917,76,0,0
SMS Spam Corpus v.0.1,LogisticRegression,0,upFeatureList,0.8853647485274128,614,49,0,0
SMS Spam Corpus v.0.1,LogisticRegression,1,lowFeatureList,0.8773413897280967,916,77,0,0
SMS Spam Corpus v.0.1,LogisticRegression,1,upFeatureList,0.881739918441323,617,46,0,0
SMS Spam Corpus v.0.1,LogisticRegression,2,lowFeatureList,0.8755287009063444,914,79,0,0
SMS Spam Corpus v.0.1,LogisticRegression,2,upFeatureList,0.8853647485274128,612,51,0,0
SMS Spam Corpus v.0.1,LogisticRegression,3,lowFeatureList,0.8712990936555891,915,78,0,0
SMS Spam Corpus v.0.1,LogisticRegression,3,upFeatureList,0.8812868146805618,617,46,0,0
SMS Spam Corpus v.0.1,LogisticRegression,4,lowFeatureList,0.8725075528700906,913,80,0,0
SMS Spam Corpus v.0.1,LogisticRegression,4,upFeatureList,0.8853647485274128,613,50,0,0
SMS Spam Corpus v.0.1,Naive,0,lowFeatureList,0.8302114803625378,907,86,0,0
SMS Spam Corpus v.0.1,Naive,0,upFeatureList,0.8486633439057544,650,13,0,0
SMS Spam Corpus v.0.1,Naive,1,lowFeatureList,0.8308157099697885,907,86,0,0
SMS Spam Corpus v.0.1,Naive,1,upFeatureList,0.860444041685546,661,2,0,0
